CustomerID,Recency,Frequency,Monetary,Monetary_log,Cluster
12346.0,326,1,3.396817248735775,1.4808809266184708,2
12347.0,2,7,460.85878193440107,6.1352591775474625,1
12348.0,75,4,67.14726543738917,4.2216710316938935,0
12349.0,19,1,181.3697629106989,5.206036290382378,0
12350.0,310,1,39.28876689052385,3.6960726928903567,2
12352.0,36,8,211.26620306603408,5.357841161811472,1
12353.0,204,1,11.123317113772305,2.495130632450237,2
12354.0,232,1,137.2895415616142,4.929349614420195,2
12355.0,214,1,39.28042139486073,3.695865529435677,2
12356.0,23,3,179.22655921973964,5.194214721770708,0
12357.0,33,1,429.6627500167395,6.065325301244708,1
12358.0,2,2,70.06733511912978,4.263627809570851,0
12359.0,58,4,642.833155955452,6.467439617935396,1
12360.0,52,3,304.4933750121242,5.72192809265515,1
12361.0,287,1,25.0378704702344,3.2595520348194027,2
12362.0,3,10,667.6922415920351,6.505323926767466,1
12363.0,110,2,54.62455551667592,4.018624749743034,0
12364.0,8,4,152.9770501441457,5.0368035662702795,0
12365.0,291,2,49.36293004837371,3.9192553895403024,2
12367.0,4,1,21.37409740394577,3.1079039238588027,0
12370.0,51,4,379.3822753052037,5.941176734699234,1
12371.0,45,2,183.05183080018043,5.2152174070734665,0
12372.0,72,3,130.72792686220865,4.880738635337653,0
12373.0,311,1,36.39642451961354,3.6215750987705597,2
12374.0,25,1,80.76172096994792,4.403809175279218,0
12375.0,11,2,44.80324639032571,3.824354970492978,0
12377.0,315,2,182.2936142897509,5.21108931675792,2
12378.0,130,1,512.8029222337564,6.241839772152323,1
12379.0,82,2,103.23195287081538,4.646618731743948,0
12380.0,22,4,278.91632481534253,5.63449071856249,1
12381.0,5,5,206.95901754245733,5.337341029242273,1
12383.0,185,5,209.3214468845786,5.348637059841566,0
12384.0,29,2,67.83621505586527,4.231729988075036,0
12386.0,338,2,28.66352618439701,3.389918216507666,2
12388.0,16,6,281.2054942574252,5.64263550860348,1
12390.0,80,1,70.48621761166227,4.269504670443183,0
12391.0,22,1,96.79227522479346,4.582845588489699,0
12393.0,72,4,172.1969230247863,5.154429230524721,0
12394.0,64,2,75.83883764726457,4.341710210863305,0
12395.0,19,12,348.82917115060036,5.857444952905603,1
12397.0,36,2,295.6602504149658,5.692587546009469,1
12398.0,46,1,172.46940284092287,5.156001231333097,0
12399.0,119,4,117.56675298234674,4.7754761182788386,0
12401.0,303,1,11.651338887016431,2.5377630504436435,2
12402.0,323,1,28.886337341067325,3.3974014308506026,2
12403.0,50,1,21.709659816704136,3.1227903765558747,0
12405.0,149,1,148.9383675584789,5.010224326717256,0
12406.0,22,2,300.40638928986965,5.708459484673312,1
12407.0,50,5,174.01951831199918,5.164897500915572,0
12408.0,33,5,280.7670483840101,5.6410806599943895,1
12409.0,79,3,460.5918275539299,6.13468101043129,1
12410.0,309,2,70.1134087709689,4.264275909337265,2
12412.0,75,3,138.48081264010906,4.937927048002903,0
12413.0,67,3,94.69699899966523,4.561186939552022,0
12414.0,217,3,45.50839473179525,3.839632828165959,2
12415.0,24,21,2863.967065657796,7.960312133675366,1
12417.0,3,9,456.734481618495,6.126289281545754,1
12418.0,113,1,77.32333423233246,4.360845569230454,0
12420.0,64,1,72.87521009436396,4.302377319639159,0
12421.0,16,4,94.64393427445162,4.5606322780306625,0
12422.0,96,3,95.78690392511695,4.572511695100226,0
12423.0,1,8,249.67669902911246,5.5241640572033655,1
12424.0,163,2,102.58588829026004,4.640401107133014,0
12425.0,78,1,86.51452204576576,4.47180474583002,0
12426.0,195,1,73.46234657097855,4.310293582465572,2
12427.0,22,3,85.17203701186925,4.456345728427638,0
12428.0,26,9,737.2562959934535,6.604291048855128,1
12429.0,9,4,297.1112075561241,5.697466596609709,1
12430.0,43,1,26.543100817462697,3.3157520801890445,0
12431.0,36,15,620.5007785572101,6.432137163656675,1
12432.0,43,5,325.82431183574175,5.789422753841,1
12433.0,1,7,1059.9949359740338,6.966962365722323,1
12434.0,85,2,111.78380108428611,4.725472721342617,0
12435.0,80,2,217.449239014954,5.3865536718251334,0
12436.0,100,1,46.45887794985848,3.859863608710831,0
12437.0,2,18,490.66837492779376,6.1978044545291855,1
12438.0,14,2,261.56887840257497,5.5705134415269875,1
12441.0,367,1,23.66729022760343,3.205478083713975,2
12442.0,3,1,20.141344376945845,3.051230572409949,0
12444.0,21,5,496.91029560517336,6.21041993149254,1
12445.0,22,1,10.462132951172013,2.439048815361874,0
12446.0,58,1,141.29492452207225,4.957901837011165,0
12447.0,243,1,65.17957111136566,4.192371821834293,2
12448.0,44,1,45.913409581799684,3.848303553173783,0
12449.0,22,4,491.2433770983339,6.198973263083034,1
12450.0,156,2,19.930374033370256,3.041201406980038,2
12451.0,11,5,856.0358921836715,6.7534797989152695,1
12452.0,17,2,51.001867275488884,3.9512796270807264,0
12453.0,134,1,96.6457342573841,4.581345972368352,0
12454.0,56,1,91.91732639805224,4.531710134329108,0
12455.0,73,6,211.40618864159302,5.358500425673982,1
12456.0,44,3,301.34544852470594,5.711570232941969,1
12457.0,66,7,180.1684935186367,5.199427501661835,1
12458.0,71,2,94.46256087159963,4.558734137863635,0
12461.0,94,2,86.57157227771869,4.472456427897546,0
